method,use_morphology,stage,eval_task,success_mean,success_std,return_mean,return_std,seeds
finetune,False,after_T1,T1,1.0,0.0,17.42115312440522,1.2994936983057168,5
finetune,False,after_T3,T1,0.0,0.0,-0.17931760376672026,0.1460157673001481,5
finetune,False,after_T3,T3,1.0,0.0,17.372529773692843,0.868402773395574,5
finetune,True,after_T1,T1,1.0,0.0,16.95656765099606,1.1283271109007933,5
finetune,True,after_T3,T1,0.6,0.5477225575051661,13.038879000848436,8.729239222279324,5
finetune,True,after_T3,T3,1.0,0.0,17.174681217293763,1.34619285845997,5
kl,False,after_T1,T1,1.0,0.0,17.42115312440522,1.2994936983057168,5
kl,False,after_T3,T1,0.9949999999999999,0.011180339887498964,18.79602482611199,1.2612776551003029,5
kl,False,after_T3,T3,0.0,0.0,0.7123832862906873,1.3603398842189451,5
kl,True,after_T1,T1,1.0,0.0,16.95656765099606,1.1283271109007933,5
kl,True,after_T3,T1,1.0,0.0,17.010857576057642,1.2224044249938038,5
kl,True,after_T3,T3,1.0,0.0,16.390168366617452,0.840462542803756,5
multitask,False,after_joint,T1,0.6,0.5477225575051661,13.097347363720399,10.94973836584511,5
multitask,False,after_joint,T3,0.275,0.4366062299143245,6.798477940567349,9.17153612639989,5
multitask,True,after_joint,T1,0.8,0.4472135954999579,15.917082189598318,9.48683352878719,5
multitask,True,after_joint,T3,1.0,0.0,18.539450049920188,3.485740896675358,5
reset,False,after_reset_T1,T1,1.0,0.0,17.42115312440522,1.2994936983057168,5
reset,False,after_reset_T3,T3,1.0,0.0,16.951161119800346,1.3837363693137712,5
reset,True,after_reset_T1,T1,1.0,0.0,16.95656765099606,1.1283271109007933,5
reset,True,after_reset_T3,T3,1.0,0.0,15.794958822589743,0.5794992988303725,5
single,False,after_T1,T1,1.0,0.0,17.42115312440522,1.2994936983057168,5
single,False,after_T3,T3,1.0,0.0,16.951161119800346,1.3837363693137712,5
single,True,after_T1,T1,1.0,0.0,16.95656765099606,1.1283271109007933,5
single,True,after_T3,T3,1.0,0.0,15.794958822589743,0.5794992988303725,5
